,mal_id,episodes,airing,duration,rating,score,scored_by,rank,popularity,year,genres,Action,Adventure,Award Winning,Comedy,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
8,181,13.0,False,22,14,7.39,31602.0,2211.0,2912,2001.0,"Action,Sci-Fi,Ecchi",1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,182,26.0,False,24,14,7.67,65272.0,1241.0,1455,1996.0,"Adventure,Fantasy,Romance",0,1,0,0,0,1,0,0,1,0,0,0,0,0
10,183,39.0,False,24,0,7.38,6734.0,2272.0,5354,2002.0,Sports,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,184,12.0,False,23,14,6.32,8373.0,7600.0,4675,2005.0,"Action,Sci-Fi",1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,185,26.0,False,25,14,8.34,186208.0,215.0,609,1998.0,"Action,Drama",1,0,0,0,1,0,0,0,0,0,0,0,0,0
13,186,13.0,False,23,14,8.17,131038.0,400.0,1099,1999.0,"Action,Drama",1,0,0,0,1,0,0,0,0,0,0,0,0,0
16,189,24.0,False,23,14,7.1,135103.0,3663.0,892,2000.0,"Comedy,Romance,Ecchi",0,0,0,1,0,0,0,0,1,0,0,0,0,0
20,193,24.0,False,23,16,6.74,48487.0,5336.0,2056,2003.0,"Comedy,Drama,Romance,Ecchi",0,0,0,1,1,0,0,0,1,0,0,0,0,0
22,195,12.0,False,22,14,7.11,94632.0,3615.0,1320,2002.0,"Drama,Romance,Sci-Fi",0,0,0,0,1,0,0,0,1,1,0,0,0,0
23,196,12.0,False,23,14,6.82,49563.0,4961.0,2173,2003.0,"Comedy,Drama,Sci-Fi",0,0,0,1,1,0,0,0,0,1,0,0,0,0
24,197,24.0,False,15,16,6.51,10513.0,6603.0,4292,2002.0,"Comedy,Romance,Sci-Fi,Ecchi",0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,198,24.0,False,23,16,7.3,40805.0,2630.0,1855,2005.0,"Action,Mystery,Supernatural",1,0,0,0,0,0,0,1,0,0,0,0,1,0
